date,headline,pos,neg,neu,sentiment_score
2026-03-23,Philip R. Lane: AI and the euro area economy,0.04552384465932846,0.023105734959244728,0.9313703775405884,0.022418109700083733
2026-03-23,"Why without value sharing, there is no social justice",0.040065947920084,0.06090109050273895,0.8990330100059509,-0.020835142582654953
2026-03-23,Top 5 Companies Where Peter Thiel Invested the Most: Palantir Leads with $10B+ Stake,0.13588976860046387,0.00869946088641882,0.8554107546806335,0.12719030771404505
2026-03-23,"U.S.-Iran talks, ICE in airports, gemstone investing and more in Morning Squawk",0.04490996524691582,0.04161051660776138,0.9134794473648071,0.003299448639154434
2026-03-23,Musk Found Liable to Twitter Shareholders in Fraud Lawsuit Over Takeover,0.03771927207708359,0.863093912601471,0.09918683022260666,-0.8253746405243874
2026-03-23,$PLUG Investment Loss: Lose Money on Plug Power? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.01697029359638691,0.7197725772857666,0.26325711607933044,-0.7028022836893797
2026-03-23,$HUBG Investment Loss: Lose Money on Hub Group Inc.? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.018297264352440834,0.7049434185028076,0.2767593264579773,-0.6866461541503668
2026-03-23,$TNC Investment Loss: Lose Money on Tennant Company? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.018294382840394974,0.6683163046836853,0.3133893311023712,-0.6500219218432903
2026-03-23,$SMR Investment Loss: Lose Money on NuScale Power? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.016890820115804672,0.7503314018249512,0.23277784883975983,-0.7334405817091465
2026-03-23,$PFSI Investment Loss: Lose Money on PennyMac Financial Services? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.017926085740327835,0.7413682341575623,0.2407057285308838,-0.7234421484172344
2026-03-23,$WLTH Investment Loss: Lose Money on Wealthfront Corporation? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.019368454813957214,0.6508822441101074,0.32974928617477417,-0.6315137892961502
2026-03-23,$CWH Investment Loss: Lose Money on Camping World? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.017885645851492882,0.7162570953369141,0.2658572494983673,-0.6983714494854212
2026-03-23,$DRVN Investment Loss: Lose Money on Driven Brands? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.019144631922245026,0.668298065662384,0.31255728006362915,-0.649153433740139
2026-03-23,$EOSE Investment Loss: Lose Money on Eos Energy? You may have been Affected by Securities Fraud and are Notified to Contact BFA Law,0.019543752074241638,0.6236778497695923,0.3567783832550049,-0.6041340976953506
2026-03-23,Ford Ranger Leads Australia's Top 10 Most Popular Car Models in Early 2026 as Utes and SUVs Dominate Sales,0.7553538084030151,0.017804287374019623,0.22684195637702942,0.7375495210289955
2026-03-23,AI Updates for the Week of 3/22/26,0.019246459007263184,0.10261595994234085,0.8781375885009766,-0.08336950093507767
2026-03-23,Elon Musk announces ambitious $20B Terafab project to manufacture chips for space-based AI,0.47537219524383545,0.013256561011075974,0.5113711953163147,0.4621156342327595
2026-03-22,The SEC drops its four-year-old investigation into EV startup Faraday Future,0.017575807869434357,0.8390352129936218,0.14338894188404083,-0.8214594051241875
2026-03-22,"Coinbase Launches 24/7 Stock Trading For Tesla, Apple, Nvidia With 10X Leverage",0.07788601517677307,0.015075591392815113,0.9070384502410889,0.06281042378395796
2026-03-22,Musk pitches pie-in-the-sky Terafab 2 nm foundry for SpaceX and Tesla AI chip fare,0.13123050332069397,0.009825633838772774,0.8589438796043396,0.1214048694819212
2026-03-22,Tesla and SpaceX announce $25B ‘Terafab’ chip factory — here’s why it reeks of desperation,0.05470246821641922,0.024462228640913963,0.9208353161811829,0.030240239575505257
2026-03-22,Elon Musk Claims He ‘Would Like to Offer’ to Pay TSA Workers’ Salaries,0.2708858251571655,0.024701004847884178,0.704413115978241,0.24618482030928135
2026-03-22,Ahead of Market: 10 things that will decide stock market action on Monday,0.025406518951058388,0.03817953169345856,0.9364139437675476,-0.01277301274240017
2026-03-21,Elon Musk Found Liable For Misleading Twitter Shareholders Ahead Of $44B Acquisition,0.02564164437353611,0.8398436903953552,0.1345147043466568,-0.8142020460218191
2026-03-21,"Is Tesla, Inc. (TSLA)  A Good Stock To Buy Now?",0.09021645784378052,0.014687562361359596,0.8950960040092468,0.07552889548242092
2026-03-21,Elon Musk Liable in Twitter Shareholder Fraud Case as Jury Finds He Misled Investors Before $44 Billion Buyout,0.02352033741772175,0.9104285836219788,0.06605109572410583,-0.886908246204257
2026-03-21,Court Finds Musk Misled Investors When He Bought Twitter,0.0356101393699646,0.5915309190750122,0.3728588819503784,-0.5559207797050476
2026-03-21,Court Finds Musk Misled Investors When He Bought Twitter,0.0356101393699646,0.5915309190750122,0.3728588819503784,-0.5559207797050476
2026-03-21,US jury finds Elon Musk misled investors during Twitter purchase,0.033872656524181366,0.7835108041763306,0.18261657655239105,-0.7496381476521492
2026-03-21,Elon Musk expected to pay out billions as jury finds he misled Twitter investors in takeover,0.04978696256875992,0.8187747001647949,0.13143840432167053,-0.768987737596035
2026-03-21,Tesla faces wider probe of self-driving feature as it prepares to sell cars without steering wheels,0.4013042151927948,0.0260744858533144,0.5726212859153748,0.3752297293394804
2026-03-21,"Coinbase to Launch Stock Futures, Why This Is Big For Crypto",0.05258772149682045,0.02677207812666893,0.9206401705741882,0.02581564337015152
2026-03-21,US jury finds Elon Musk misled Twitter shareholders,0.03683023527264595,0.7750434279441833,0.1881263107061386,-0.7382131926715374
2026-03-21,"Jury finds Elon Musk misled investors during Twitter purchase, absolves him of some fraud claims",0.0212201289832592,0.8814901113510132,0.09728981554508209,-0.860269982367754
2026-03-21,US jury finds Elon Musk misled Twitter shareholders,0.03683023527264595,0.7750434279441833,0.1881263107061386,-0.7382131926715374
2026-03-21,"Twitter shareholders were misled by Elon Musk, finds federal jury in California. What will be the impact?",0.021638985723257065,0.31631535291671753,0.6620455980300903,-0.29467636719346046
2026-03-21,"Jury finds Elon Musk misled investors during Twitter purchase, but absolves him of some fraud claims",0.02735552005469799,0.8509267568588257,0.12171772122383118,-0.8235712368041277
2026-03-21,Musk Found Liable To Twitter Shareholders In Fraud Lawsuit Over $44 Billion Takeover,0.05539853498339653,0.7447699904441833,0.1998315304517746,-0.6893714554607868
2026-03-20,"Musk misled Twitter investors before 2022 buyout, jury says",0.026519080623984337,0.2742432653903961,0.6992376446723938,-0.24772418476641178
2026-03-20,"Elon Musk misled investors during his Twitter takeover, jury finds",0.024592777714133263,0.4738808572292328,0.501526415348053,-0.4492880795150995
2026-03-20,"Elon Musk misled Twitter investors while trying to get out of acquisition, jury says | TechCrunch",0.02194897271692753,0.6241217851638794,0.35392922163009644,-0.6021728124469519
2026-03-20,"Elon Musk Misled Investors During $44B Twitter Takeover, Jury Finds",0.028177930042147636,0.3492533266544342,0.6225687265396118,-0.32107539661228657
2026-03-20,"Jury finds Musk misled investors during Twitter takeover, absolves him of some fraud claims",0.02061587944626808,0.8897287249565125,0.08965539932250977,-0.8691128455102444
2026-03-20,"Jury finds Elon Musk misled investors during Twitter purchase, absolves him of some fraud claims",0.0212201289832592,0.8814901113510132,0.09728981554508209,-0.860269982367754
